Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Vieu,try.vieu.com,"Vieu specializes in enterprise sales processes using generative AI technology within the sales acceleration and strategy domain. The company offers AI-generated execution plans that guide sales professionals from prospecting to proposal, aiming to optimize sales pursuits and increase strategic wins. Vieu's technology is designed to streamline sales team efforts by prioritizing accounts, mapping stakeholders, and preparing for executive meetings, boosting overall sales productivity. It was founded in 2022 and is based in Seattle, Washington.",Horizontal applications,Seed VC,03/10/2024,13,"Incubate Fund, Trilogy Equity Partners, Vela Partners",,11,,,,716,12/10/2023,United States,Sales & customer support,x, , , 
PandasAI,pandas-ai.com,"PandasAI specializes in conversational data analysis within the open source AI sector. The company offers a platform that allows users to query enterprise data using natural language and provides real-time data insights. PandasAI primarily serves professionals and enterprises seeking to enhance productivity and decision-making through data analysis. It was founded in 2023 and is based in Berlin, Germany.",Horizontal applications,Pre-Seed,29/09/2023,1.1,"Episode 1 Ventures, Runa Capital, Vento",,1.1,,,,424,12/10/2023,Germany,Data analysis, , ,x, 
Letter AI,letter.ai,"Letter AI provides a revenue enablement platform powered natively by generative artificial intelligence (AI), operating within the domain of sales and marketing technology. The company offers a suite of services including training materials, AI-driven content management, and real-time coaching and assistance for revenue teams. It primarily serves large enterprises and growing teams within the sales and marketing sectors. It was founded in 2023 and is based in Chicago, Illinois.",Horizontal applications,Seed VC,01/07/2023,0.5,"Y Combinator, Pioneer Fund",,,,,,401,12/10/2023,United States,Sales & customer support,x, , , 
Sereact,sereact.ai,"Sereact specializes in embodied AI for the robotics industry, focusing on automating intralogistics processes. The company offers AI software that enables robots to autonomously perform pick-and-place tasks, improving efficiency and reliability in warehouse operations. Sereact's technology is primarily utilized in the automation of supply chain and warehouse logistics. It was founded in 2021 and is based in Stuttgart, Germany.",Industrials,Seed VC,08/08/2023,5,"German Accelerator Tech, Air Street Capital, Point Nine Capital",,5,,,,410,12/10/2023,Germany,GenAI-powered robots, , , , 
Humanloop,humanloop.com,"Humanloop is a company focused on the development and evaluation of Large Language Model (LLM) applications within the AI sector. Their main offerings include a collaborative platform for managing and iterating on AI prompts, tools for evaluating and monitoring LLM applications, and features for customizing and optimizing model performance. Humanloop primarily serves the enterprise market, enabling organizations to adopt AI safely and effectively. It was founded in 2020 and is based in Cambridge, England.",Generative AI infrastructure,Seed VC,28/07/2022,2.73,"University College London, UCL Technology Fund, Y Combinator, Tech Nation Applied AI, Albion Capital, Index Ventures, LocalGlobe",,2.6,,,,526,12/10/2023,United Kingdom,LLMOps, , , , 
Blackshark.ai,blackshark.ai,"Blackshark.ai specializes in artificial intelligence (AI) based object detection and the creation of a three dimensional (3D) digital twin of the entire planet within the geospatial technology sector. The company's main offerings include extracting insights from satellite and aerial imagery to produce photorealistic, semantic 3D models and geospatial analytics that serve various enterprise solutions. Blackshark.ai primarily caters to industries requiring high-fidelity simulation environments, such as aviation training, urban planning, and mixed reality applications. It was founded in 2020 and is based in Graz, Austria.",Industrials,Series A - II,16/11/2023,35,"NVIDIA Inception Program, M12, Point72 Ventures, Maxar Technologies, AWS European Defence Accelerator, Einstein Industries Ventures, Gaingels, ISAI, In-Q-Tel, Interwoven Ventures, OpAmp Capital, OurCrowd, Safran Corporate Ventures",,15,,,,592,16/10/2023,Austria,Geospatial platform, , , ,x
D-Matrix,d-matrix.ai,"d-Matrix engages in data center artificial intelligence (AI) inferencing using in-memory computing (IMC) techniques with chipset-level scale-out interconnects. It builds and deploys a mixed-signal DSP in a full-stack AI solution for a broad class of inferencing workloads in the cloud and infrastructure edge markets. The company was founded in 2019 and is based in Santa Clara, California.",Generative AI infrastructure,Series B,06/09/2023,154,"Foothill Ventures, TSVC, Entrada Ventures, M12, Marvell, Nautilus Venture Partners, Playground Global, SK hynix, Microsoft, Temasek",,110,,,,700,16/10/2023,United States,LLMOps, , , , 
Lanzhou Technology,langboat.com,"Lanzhou Technology is a leading cognitive intelligence company focused on providing a new generation of cognitive intelligence platforms based on natural language processing (NLP) technology. The company offers a suite of services including knowledge graphs, machine translation, writing assistance, sentiment analysis, intelligent search, customer service, and document parsing, designed to efficiently integrate into business scenarios such as search, generation, translation, and conversation. Lanzhou Technology primarily serves global enterprises, aiding in their digital transformation and upgrading processes. It was founded in 2021 and is based in Beijing, Beijing.",Horizontal applications,Seed VC - III,13/03/2023,15.71,"Sinovation Ventures, Eight Roads Ventures, Lenovo Capital and Incubator Group, Zhongguancun Science City Science and Technology Fund",,,,,,451,26/10/2023,China,Social media & marketing content,x, , , 
OpenCSG,opencsg.com,"OpenCSG is a company focused on technological innovation through large model training in the artificial intelligence sector. It offers a platform for model exploration, training, deployment, and application services, catering to various domains within the open-source community. The platform supports the development and sharing of large models. It was founded in 2023 and is based in Beijing, Beijing.",Generative AI infrastructure,Seed VC,01/09/2023,,"Digital China Capital, Lenovo Capital and Incubator Group",,,,,,255,26/10/2023,China,LLMOps, , , , 
AIsphere,aishiai.com,"AIsphere provides generative AI solutions and engages in research, development, and commercialization of multimodal foundation models with a focus on computer vision (CV) technology and artificial intelligence in grid computing (AIGC). It offers content generation such as image, 3D, and video, and security solutions, data analysis, and more. The company was founded in 2023 and is based in Chaoyang District, China.",Generative AI infrastructure,Series A - II,24/04/2024,,"Fortune Capital, Ant Group",,,,,,284,26/10/2023,China,Model developer, , , ,x
Mano,usemano.com,"Mano Claims specializes in enhancing the health benefits experience through the use of GenerativeAI technology in the health insurance sector. The company offers products that automate the claims adjusting process, provide decision support for return on investment, and deliver AI-powered reporting and compliance. Mano Claims primarily serves third-party administrators, employers, brokers, and stop-loss MGUs within the healthcare industry. It was founded in 2023 and is based in New York, New York.",Horizontal applications,Seed VC,01/07/2023,,"Pioneer Fund, Y Combinator",,,,,,322,03/11/2023,United States,Productivity & knowledge management,x, , , 
VIIM,viceversa.ai,"VIIM provides fashion community service using generative AI. The company offers a platform where users generate fashion images using generative AI, create their own fashion lookbooks, and engage in a community where they can post their creations and communicate with others. It serves the fashion industry. It is based in Seoul, South Korea.",Horizontal applications,Seed VC,22/11/2023,0.96,"Space Asset Management, Thanks Ventures",,0.96,,,,406,02/01/2024,South Korea,Consumer social apps & tools, , , ,x
